# x, sinc(x)
-1.315315315315315203e+01,4.209520119936852739e-02
-1.311311311311311201e+01,3.964789722072101230e-02
-1.307307307307307198e+01,3.712185223600573958e-02
-1.303303303303303196e+01,3.452059744221765841e-02
-1.299299299299299193e+01,3.184780353963873045e-02
-1.295295295295295190e+01,2.910727586767944755e-02
-1.291291291291291188e+01,2.630294930671091616e-02
-1.287287287287287185e+01,2.343888295234679287e-02
-1.283283283283283183e+01,2.051925456900831335e-02
-1.279279279279279180e+01,1.754835482997149990e-02
-1.275275275275275177e+01,1.453058135145223959e-02
-1.271271271271271175e+01,1.147043252863202446e-02
-1.267267267267267172e+01,8.372501181864073355e-03
-1.263263263263263170e+01,5.241468021625903320e-03
-1.259259259259259167e+01,2.082094941099361246e-03
-1.255255255255255165e+01,-1.100781854437439750e-03
-1.251251251251251162e+01,-4.302258871930794704e-03
-1.247247247247247159e+01,-7.517372498830755811e-03
-1.243243243243243157e+01,-1.074110630531002926e-02
-1.239239239239239154e+01,-1.396839847015163109e-02
-1.235235235235235152e+01,-1.719414931979698635e-02
-1.231231231231231149e+01,-2.041322896982303986e-02
-1.227227227227227146e+01,-2.362048505790869529e-02
-1.223223223223223144e+01,-2.681075055715778643e-02
-1.219219219219219141e+01,-2.997885165846852357e-02
-1.215215215215215139e+01,-3.311961571047747355e-02
-1.211211211211211136e+01,-3.622787920546115953e-02
-1.207207207207207134e+01,-3.929849579944905136e-02
-1.203203203203203131e+01,-4.232634435468998063e-02
-1.199199199199199128e+01,-4.530633699251874341e-02
-1.195195195195195126e+01,-4.823342714459138980e-02
-1.191191191191191123e+01,-5.110261759039784468e-02
-1.187187187187187121e+01,-5.390896846891664318e-02
-1.183183183183183118e+01,-5.664760525225197990e-02
-1.179179179179179116e+01,-5.931372666908520108e-02
-1.175175175175175113e+01,-6.190261256578362403e-02
-1.171171171171171110e+01,-6.440963169303749736e-02
-1.167167167167167108e+01,-6.683024940594264884e-02
-1.163163163163163105e+01,-6.916003526551019187e-02
-1.159159159159159103e+01,-7.139467052966723404e-02
-1.155155155155155100e+01,-7.352995552191271544e-02
-1.151151151151151097e+01,-7.556181686591025015e-02
-1.147147147147147095e+01,-7.748631457443609649e-02
-1.143143143143143092e+01,-7.929964898125355099e-02
-1.139139139139139090e+01,-8.099816750465597959e-02
-1.135135135135135087e+01,-8.257837123160936821e-02
-1.131131131131131085e+01,-8.403692131163013890e-02
-1.127127127127127082e+01,-8.537064514975666041e-02
-1.123123123123123079e+01,-8.657654238821159420e-02
-1.119119119119119077e+01,-8.765179066660773455e-02
-1.115115115115115074e+01,-8.859375115082104846e-02
-1.111111111111111072e+01,-8.939997382094196088e-02
-1.107107107107107069e+01,-9.006820250901835523e-02
-1.103103103103103066e+01,-9.059637967762106114e-02
-1.099099099099099064e+01,-9.098265093059496045e-02
-1.095095095095095061e+01,-9.122536924770491273e-02
-1.091091091091091059e+01,-9.132309893524594158e-02
-1.087087087087087056e+01,-9.127461928506003241e-02
-1.083083083083083054e+01,-9.107892793478856996e-02
-1.079079079079079051e+01,-9.073524392258748572e-02
-1.075075075075075048e+01,-9.024301042994208044e-02
-1.071071071071071046e+01,-8.960189720664081536e-02
-1.067067067067067043e+01,-8.881180267239822956e-02
-1.063063063063063041e+01,-8.787285569006020314e-02
-1.059059059059059038e+01,-8.678541700577577234e-02
-1.055055055055055035e+01,-8.555008035198070904e-02
-1.051051051051051033e+01,-8.416767320950617470e-02
-1.047047047047047030e+01,-8.263925722560262754e-02
-1.043043043043043028e+01,-8.096612828515205307e-02
-1.039039039039039025e+01,-7.914981623283112722e-02
-1.035035035035035023e+01,-7.719208424448324724e-02
-1.031031031031031020e+01,-7.509492784645707686e-02
-1.027027027027027017e+01,-7.286057358217354341e-02
-1.023023023023023015e+01,-7.049147732569104041e-02
-1.019019019019019012e+01,-6.799032224254880630e-02
-1.015015015015015010e+01,-6.536001639868116442e-02
-1.011011011011011007e+01,-6.260369001870877415e-02
-1.007007007007007005e+01,-5.972469239542809588e-02
-1.003003003003003002e+01,-5.672658845283365392e-02
-9.989989989989989994e+00,-5.361315496552175597e-02
-9.949949949949949968e+00,-5.038837643783559972e-02
-9.909909909909909942e+00,-4.705644064662126147e-02
-9.869869869869869916e+00,-4.362173385197005288e-02
-9.829829829829829890e+00,-4.008883568082536458e-02
-9.789789789789789864e+00,-3.646251368882958560e-02
-9.749749749749749839e+00,-3.274771760627924466e-02
-9.709709709709709813e+00,-2.894957327454287035e-02
-9.669669669669669787e+00,-2.507337627977570052e-02
-9.629629629629629761e+00,-2.112458529123728210e-02
