# x, f(x), root1, root2
-8.989974937343358619e+00,-1.197994987468671724e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-8.904761904761905100e+00,-1.180952380952381020e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-8.819548872180451582e+00,-1.163909774436090316e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-8.734335839598998064e+00,-1.146867167919799613e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-8.649122807017544545e+00,-1.129824561403508909e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-8.563909774436091027e+00,-1.112781954887218205e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-8.478696741854637509e+00,-1.095739348370927502e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-8.393483709273183990e+00,-1.078696741854636798e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-8.308270676691730472e+00,-1.061654135338346094e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-8.223057644110276954e+00,-1.044611528822055391e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-8.137844611528823435e+00,-1.027568922305764687e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-8.052631578947368141e+00,-1.010526315789473628e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-7.967418546365914622e+00,-9.934837092731829244e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-7.882205513784461104e+00,-9.764411027568922208e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-7.796992481203007586e+00,-9.593984962406015171e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-7.711779448621554067e+00,-9.423558897243108134e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-7.626566416040100549e+00,-9.253132832080201098e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-7.541353383458647031e+00,-9.082706766917294061e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-7.456140350877193512e+00,-8.912280701754387024e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-7.370927318295739994e+00,-8.741854636591479988e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-7.285714285714286476e+00,-8.571428571428572951e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-7.200501253132832957e+00,-8.401002506265665914e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-7.115288220551379439e+00,-8.230576441102758878e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-7.030075187969925921e+00,-8.060150375939851841e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-6.944862155388472402e+00,-7.889724310776944805e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-6.859649122807018884e+00,-7.719298245614037768e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-6.774436090225563589e+00,-7.548872180451127178e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-6.689223057644110071e+00,-7.378446115288220142e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-6.604010025062656553e+00,-7.208020050125313105e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-6.518796992481203034e+00,-7.037593984962406068e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-6.433583959899749516e+00,-6.867167919799499032e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-6.348370927318295998e+00,-6.696741854636591995e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-6.263157894736842479e+00,-6.526315789473684958e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-6.177944862155388961e+00,-6.355889724310777922e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-6.092731829573935443e+00,-6.185463659147870885e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-6.007518796992481924e+00,-6.015037593984963848e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-5.922305764411028406e+00,-5.844611528822056812e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-5.837092731829574888e+00,-5.674185463659149775e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-5.751879699248121369e+00,-5.503759398496242738e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-5.666666666666667851e+00,-5.333333333333335702e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-5.581453634085214333e+00,-5.162907268170428665e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-5.496240601503760814e+00,-4.992481203007521628e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-5.411027568922307296e+00,-4.822055137844614592e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-5.325814536340852001e+00,-4.651629072681704002e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-5.240601503759398483e+00,-4.481203007518796966e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-5.155388471177944965e+00,-4.310776942355889929e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-5.070175438596491446e+00,-4.140350877192982892e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
